id,year,title,domain,primary_field,analysis_community,display_community,is_landmark,anchor_label,short_id,doi,cited_by_count,reference_count,source_dataset,legacy_is_landmark,reliable_anchor_source,anchor_policy,primary_topic,community,community_label,display_label,is_closure_node,domain_analysis_end_year
https://openalex.org/W2030164271,2005,Quantum Spin Hall Effect in Graphene,topological_insulators,Materials Chemistry,74577964,74577964,1,Kane/Mele 2005,W2030164271,10.1103/physrevlett.95.226801,8130,21,openalex_v3_landmark_exact,1,landmarks_csv_labeled,strict,Graphene research and applications,74577964,Graphene research and applications,Graphene research and applications,0,2025
https://openalex.org/W2117734893,2006,Quantum Spin Hall Effect and Topological Phase Transition in HgTe Quantum Wells,topological_insulators,"Atomic and Molecular Physics, and Optics",74680541,74680541,1,Bernevig 2006,W2117734893,10.1126/science.1133734,7066,25,openalex_v3_landmark_exact,1,landmarks_csv_labeled,strict,Topological Materials and Phenomena,74680541,Topological Materials and Phenomena,Topological Materials and Phenomena,0,2025
https://openalex.org/W2105685140,2009,The electronic properties of graphene,topological_insulators,Materials Chemistry,74577964,74577964,0,,W2105685140,10.1103/revmodphys.81.109,24584,478,openalex_v3_anchor_citer,0,,strict,Graphene research and applications,74577964,Graphene research and applications,Graphene research and applications,0,2025
https://openalex.org/W2102074887,2010,<i>Colloquium</i>: Topological insulators,topological_insulators,"Atomic and Molecular Physics, and Optics",74680541,74680541,0,,W2102074887,10.1103/revmodphys.82.3045,19838,174,openalex_v3_anchor_citer,0,,strict,Topological Materials and Phenomena,74680541,Topological Materials and Phenomena,Topological Materials and Phenomena,0,2025
https://openalex.org/W2020332193,2011,Topological insulators and superconductors,topological_insulators,"Atomic and Molecular Physics, and Optics",74680541,74680541,0,,W2020332193,10.1103/revmodphys.83.1057,14416,350,openalex_v3_anchor_citer,0,,strict,Topological Materials and Phenomena,74680541,Topological Materials and Phenomena,Topological Materials and Phenomena,0,2025
https://openalex.org/W2146564548,2008,Superior Thermal Conductivity of Single-Layer Graphene,topological_insulators,Materials Chemistry,74577964,74577964,0,,W2146564548,10.1021/nl0731872,13649,49,openalex_v3_anchor_citer,0,,strict,Graphene research and applications,74577964,Graphene research and applications,Graphene research and applications,0,2025
https://openalex.org/W2118492507,2005,Experimental observation of the quantum Hall effect and Berry's phase in graphene,topological_insulators,Materials Chemistry,74577964,74577964,0,,W2118492507,10.1038/nature04235,13433,20,openalex_v3_anchor_citer,0,,strict,Graphene research and applications,74577964,Graphene research and applications,Graphene research and applications,0,2025
https://openalex.org/W2793369479,2018,Unconventional superconductivity in magic-angle graphene superlattices,topological_insulators,Condensed Matter Physics,74577313,74577313,0,,W2793369479,10.1038/nature26160,8285,75,openalex_v3_query_core,0,,strict,Physics of Superconductivity and Magnetism,74577313,Physics of Superconductivity and Magnetism,Physics of Superconductivity and Magnetism,0,2025
https://openalex.org/W2001755358,2009,"Topological insulators in Bi2Se3, Bi2Te3 and Sb2Te3 with a single Dirac cone on the surface",topological_insulators,"Atomic and Molecular Physics, and Optics",74680541,74680541,0,,W2001755358,10.1038/nphys1270,6305,31,openalex_v3_anchor_citer,0,,strict,Topological Materials and Phenomena,74680541,Topological Materials and Phenomena,Topological Materials and Phenomena,0,2025
https://openalex.org/W2043175787,2007,Quantum Spin Hall Insulator State in HgTe Quantum Wells,topological_insulators,"Atomic and Molecular Physics, and Optics",74629446,74629446,0,,W2043175787,10.1126/science.1148047,6115,20,openalex_v3_anchor_citer,0,,strict,Quantum and electron transport phenomena,74629446,Quantum and electron transport phenomena,Quantum and electron transport phenomena,0,2025
https://openalex.org/W2627001981,2017,2D transition metal dichalcogenides,topological_insulators,Materials Chemistry,74612157,74612157,0,,W2627001981,10.1038/natrevmats.2017.33,5883,235,openalex_v3_anchor_citer,0,,strict,2D Materials and Applications,74612157,2D Materials and Applications,2D Materials and Applications,0,2025
https://openalex.org/W2606397457,2017,Layer-dependent ferromagnetism in a van der Waals crystal down to the monolayer limit,topological_insulators,Materials Chemistry,74612157,74612157,0,,W2606397457,10.1038/nature22391,5864,46,openalex_v3_query_core,0,,strict,2D Materials and Applications,74612157,2D Materials and Applications,2D Materials and Applications,0,2025
https://openalex.org/W2168226651,2008,Superconducting Proximity Effect and Majorana Fermions at the Surface of a Topological Insulator,topological_insulators,"Atomic and Molecular Physics, and Optics",74680541,74680541,0,,W2168226651,10.1103/physrevlett.100.096407,4880,28,openalex_v3_anchor_citer,0,,strict,Topological Materials and Phenomena,74680541,Topological Materials and Phenomena,Topological Materials and Phenomena,0,2025
https://openalex.org/W1983970619,2007,Topological Insulators in Three Dimensions,topological_insulators,"Atomic and Molecular Physics, and Optics",74680541,74680541,0,,W1983970619,10.1103/physrevlett.98.106803,4665,20,openalex_v3_anchor_citer,0,,strict,Topological Materials and Phenomena,74680541,Topological Materials and Phenomena,Topological Materials and Phenomena,0,2025
https://openalex.org/W2000564135,2010,Anomalous Hall effect,topological_insulators,"Atomic and Molecular Physics, and Optics",74680541,74680541,0,,W2000564135,10.1103/revmodphys.82.1539,4617,214,openalex_v3_anchor_citer,0,,strict,Topological Materials and Phenomena,74680541,Topological Materials and Phenomena,Topological Materials and Phenomena,0,2025
https://openalex.org/W2611395271,2018,Weyl and Dirac semimetals in three-dimensional solids,topological_insulators,"Atomic and Molecular Physics, and Optics",74680541,74680541,0,,W2611395271,10.1103/revmodphys.90.015001,4540,549,openalex_v3_anchor_citer,0,,strict,Topological Materials and Phenomena,74680541,Topological Materials and Phenomena,Topological Materials and Phenomena,0,2025
https://openalex.org/W2012587360,2013,Graphene-Like Two-Dimensional Materials,topological_insulators,Materials Chemistry,74577964,74577964,0,,W2012587360,10.1021/cr300263a,4490,382,openalex_v3_anchor_citer,0,,strict,Graphene research and applications,74577964,Graphene research and applications,Graphene research and applications,0,2025
https://openalex.org/W2031028572,2007,Topological insulators with inversion symmetry,topological_insulators,"Atomic and Molecular Physics, and Optics",74680541,74680541,0,,W2031028572,10.1103/physrevb.76.045302,4216,71,openalex_v3_anchor_citer,0,,strict,Topological Materials and Phenomena,74680541,Topological Materials and Phenomena,Topological Materials and Phenomena,0,2025
https://openalex.org/W1552055731,2009,Observation of a large-gap topological-insulator class with a single Dirac cone on the surface,topological_insulators,"Atomic and Molecular Physics, and Optics",74680541,74680541,0,,W1552055731,10.1038/nphys1274,3770,28,openalex_v3_query_core,0,,strict,Topological Materials and Phenomena,74680541,Topological Materials and Phenomena,Topological Materials and Phenomena,0,2025
https://openalex.org/W4211161891,2019,Topological photonics,topological_insulators,Artificial Intelligence,79176193,79176193,0,,W4211161891,10.1103/revmodphys.91.015006,3595,868,openalex_v3_anchor_citer,0,,strict,Neural Networks and Reservoir Computing,79176193,Neural Networks and Reservoir Computing,Neural Networks and Reservoir Computing,0,2025
https://openalex.org/W2120831645,2009,"Experimental Realization of a Three-Dimensional Topological Insulator, Bi <sub>2</sub> Te <sub>3</sub>",topological_insulators,"Atomic and Molecular Physics, and Optics",74680541,74680541,0,,W2120831645,10.1126/science.1173034,3573,21,openalex_v3_anchor_citer,0,,strict,Topological Materials and Phenomena,74680541,Topological Materials and Phenomena,Topological Materials and Phenomena,0,2025
https://openalex.org/W2795835319,2014,Topological photonics,topological_insulators,"Atomic and Molecular Physics, and Optics",74680541,74680541,0,,W2795835319,10.1038/nphoton.2014.248,3570,429,openalex_v3_anchor_citer,0,,strict,Topological Materials and Phenomena,74680541,Topological Materials and Phenomena,Topological Materials and Phenomena,0,2025
https://openalex.org/W1905539406,2008,A topological Dirac insulator in a quantum spin Hall phase,topological_insulators,"Atomic and Molecular Physics, and Optics",74680541,74680541,0,,W1905539406,10.1038/nature06843,3519,38,openalex_v3_anchor_citer,0,,strict,Topological Materials and Phenomena,74680541,Topological Materials and Phenomena,Topological Materials and Phenomena,0,2025
https://openalex.org/W2057936436,2011,Electronic transport in two-dimensional graphene,topological_insulators,Materials Chemistry,74577964,74577964,0,,W2057936436,10.1103/revmodphys.83.407,3411,525,openalex_v3_anchor_citer,0,,strict,Graphene research and applications,74577964,Graphene research and applications,Graphene research and applications,0,2025
https://openalex.org/W2003397144,2008,Classification of topological insulators and superconductors in three spatial dimensions,topological_insulators,"Atomic and Molecular Physics, and Optics",74680541,74680541,0,,W2003397144,10.1103/physrevb.78.195125,3362,124,openalex_v3_anchor_citer,0,,strict,Topological Materials and Phenomena,74680541,Topological Materials and Phenomena,Topological Materials and Phenomena,0,2025
https://openalex.org/W2494235437,2016,Bound states in the continuum,topological_insulators,Statistical and Nonlinear Physics,76911731,76911731,0,,W2494235437,10.1038/natrevmats.2016.48,3334,268,openalex_v3_query_core,0,,strict,Nonlinear Photonic Systems,76911731,Nonlinear Photonic Systems,Nonlinear Photonic Systems,0,2025
https://openalex.org/W1514707913,2008,Topological field theory of time-reversal invariant insulators,topological_insulators,"Atomic and Molecular Physics, and Optics",74680541,74680541,0,,W1514707913,10.1103/physrevb.78.195424,3326,75,openalex_v3_anchor_citer,0,,strict,Topological Materials and Phenomena,74680541,Topological Materials and Phenomena,Topological Materials and Phenomena,0,2025
https://openalex.org/W1978426240,2013,Photonic Floquet topological insulators,topological_insulators,"Atomic and Molecular Physics, and Optics",74680541,74680541,0,,W1978426240,10.1038/nature12066,3288,47,openalex_v3_anchor_citer,0,,strict,Topological Materials and Phenomena,74680541,Topological Materials and Phenomena,Topological Materials and Phenomena,0,2025
https://openalex.org/W2070931774,2010,The birth of topological insulators,topological_insulators,"Atomic and Molecular Physics, and Optics",74680541,74680541,0,,W2070931774,10.1038/nature08916,3214,45,openalex_v3_anchor_citer,0,,strict,Topological Materials and Phenomena,74680541,Topological Materials and Phenomena,Topological Materials and Phenomena,0,2025
https://openalex.org/W1987693322,2009,Observation of unidirectional backscattering-immune topological electromagnetic states,topological_insulators,"Atomic and Molecular Physics, and Optics",74680541,74680541,0,,W1987693322,10.1038/nature08293,3073,34,openalex_v3_anchor_citer,0,,strict,Topological Materials and Phenomena,74680541,Topological Materials and Phenomena,Topological Materials and Phenomena,0,2025
https://openalex.org/W2566076131,2015,Spin Hall effects,topological_insulators,"Atomic and Molecular Physics, and Optics",74577446,74577446,0,,W2566076131,10.1103/revmodphys.87.1213,3028,270,openalex_v3_anchor_citer,0,,strict,Magnetic properties of thin films,74577446,Magnetic properties of thin films,Magnetic properties of thin films,0,2025
https://openalex.org/W2024227324,2014,"Science and technology roadmap for graphene, related two-dimensional crystals, and hybrid systems",topological_insulators,Materials Chemistry,74577964,74577964,0,,W2024227324,10.1039/c4nr01600a,3019,2270,openalex_v3_anchor_citer,0,,strict,Graphene research and applications,74577964,Graphene research and applications,Graphene research and applications,0,2025
