paper_id,title,domain,year,primary_field,display_community,is_landmark,reference_count,n_future_citers,community_reach,field_entropy,cross_community_adoption,path_shortening,modularity_shock,partition_change,boundary_mixing,post_perturbation_concentration,hub_formation
graphene_2d_materials::https://openalex.org/W2091804031,"Heteroepitaxial growth by Van der Waals interaction in one-, two- and three-dimensional materials",graphene_2d_materials,1991,2D Materials and Applications,100000,0,5,4,4.0,1.3862943611158909,1.0,0.0,0.0,1.0,-0.3076923076923077,0.25,1.0
graphene_2d_materials::https://openalex.org/W1542482684,MoS2 structures in high-activity hydrotreating catalysts,graphene_2d_materials,1993,Catalysis and Hydrodesulfurization Studies,100150,0,12,23,3.0,0.355712859743894,0.0869565217391304,0.4,0.0,0.2240608243364664,-0.0930693069306931,0.8374291115311908,1.0
graphene_2d_materials::https://openalex.org/W1964642922,Crystal reorientation and wear mechanisms in MoS<sub>2</sub> lubricating thin films investigated by TEM,graphene_2d_materials,1993,Metal and Thin Film Mechanics,100547,0,6,11,2.0,0.3046360973472382,0.0909090909090909,0.0,0.009645061728395,0.0093448381048914,0.1388888888888889,0.8347107438016528,1.0
graphene_2d_materials::https://openalex.org/W1968164954,Self-assembled alkane monolayers on MoSe2 and MoS2,graphene_2d_materials,1993,Surface Chemistry and Catalysis,100792,0,5,4,2.0,0.6931471805579453,0.5,1.8333333333333333,0.0798816568047337,0.2519235740744792,0.4615384615384615,0.5,1.0
graphene_2d_materials::https://openalex.org/W2069810599,MoS2 structures in high activity hydrotreating catalysts. II. Evolution of the active phase during the catalyst life cycle. Deactivation model,graphene_2d_materials,1993,Catalysis and Hydrodesulfurization Studies,100150,0,9,9,2.0,0.3488320958410319,0.1111111111111111,0.4,0.0,0.3057735632557007,-0.2612612612612612,0.8024691358024691,1.0
graphene_2d_materials::https://openalex.org/W1998846705,"Development, testing and characterization of MoS2 thin film bearings",graphene_2d_materials,1994,Metal and Thin Film Mechanics,100547,0,5,3,1.0,-1.000088900581841e-12,0.0,0.0,0.0,0.0,0.0,1.0,1.0
graphene_2d_materials::https://openalex.org/W2042663049,Ultrahigh vacuum high resolution transmission electron microscopy of sputter-deposited MoS2 thin films,graphene_2d_materials,1994,Metal and Thin Film Mechanics,100547,0,6,13,1.0,-1.000088900581841e-12,0.0,0.0,0.0,0.0,0.0,1.0,1.0
graphene_2d_materials::https://openalex.org/W2042845138,Fracture in MoS2 solid lubricant films,graphene_2d_materials,1994,Metal and Thin Film Mechanics,100547,0,6,6,1.0,-1.000088900581841e-12,0.0,0.0,0.0006858710562414,0.0888056394794565,0.037037037037037,1.0,1.0
graphene_2d_materials::https://openalex.org/W2057851761,Electronic band structure of multilayered carbon tubules,graphene_2d_materials,1994,Graphene research and applications,100373,0,5,4,1.0,-1.000088900581841e-12,1.0,0.0,0.1862244897959183,1.0,0.6428571428571429,1.0,1.0
graphene_2d_materials::https://openalex.org/W2334006453,Epitaxial Growth of Two-Dimensional Dichalcogenides and Modification of Their Surfaces with Scanning Probe Microscopes,graphene_2d_materials,1994,2D Materials and Applications,100000,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2499999999999999,0.0,1.0
graphene_2d_materials::https://openalex.org/W1983956165,"On the correlation between the scanning tunneling microscopy image imperfections and point defects of layered chalcogenides 2HMX2 (M = Mo, W; X = S, Se)",graphene_2d_materials,1995,2D Materials and Applications,100000,0,6,8,6.0,1.7328679513938632,0.875,1.1,0.1403061224489795,0.7126417936566767,0.9285714285714286,0.1875,1.0
graphene_2d_materials::https://openalex.org/W2013005775,EXAFS of sputter-deposited MoS2 films,graphene_2d_materials,1995,Metal and Thin Film Mechanics,100547,0,8,3,1.0,-1.000088900581841e-12,0.0,0.0,0.0009451795841209,0.0655078450172156,0.0434782608695652,1.0,1.0
graphene_2d_materials::https://openalex.org/W2018823200,"The effect of phosphorus on the HDN reaction of piperidine, decahydroquinoline and ortho-propylaniline over Ni-MoS2/Al2O3 catalysts",graphene_2d_materials,1995,Catalysis and Hydrodesulfurization Studies,100150,0,5,2,1.0,-1.000088900581841e-12,0.0,0.0,0.0,0.0,0.0,1.0,1.0
graphene_2d_materials::https://openalex.org/W2040403588,Carbon nanotubes with single-layer walls,graphene_2d_materials,1995,Carbon Nanotubes in Composites,100144,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2222222222222222,0.0,1.0
graphene_2d_materials::https://openalex.org/W2049449367,Structural change of supported NiMo sulfide catalysts during the hydrogenation of coal-derived liquids,graphene_2d_materials,1995,Catalysis and Hydrodesulfurization Studies,100150,0,5,1,1.0,-1.000088900581841e-12,0.0,0.1666666666666666,0.0,0.3958156020033583,-0.375,1.0,1.0
graphene_2d_materials::https://openalex.org/W2056663269,Anomalous wear behavior of MoS2 films in moderate vacuum and dry nitrogen,graphene_2d_materials,1995,Metal and Thin Film Mechanics,100547,0,5,3,1.0,-1.000088900581841e-12,0.0,0.0,0.0,0.0,0.0,1.0,1.0
