paper_id,title,domain,year,primary_field,profile_type,metric,percentile,n_controls,control_tier,future_rgpm_proxy
graphene_2d_materials::https://openalex.org/W2058122340,Electric Field Effect in Atomically Thin Carbon Films,graphene_2d_materials,2004,Graphene research and applications,landmark,B,67.94460395203514,5921,all_non_landmark,0.7243547674271476
graphene_2d_materials::https://openalex.org/W2058122340,Electric Field Effect in Atomically Thin Carbon Films,graphene_2d_materials,2004,Graphene research and applications,landmark,RS,48.33642965715251,5921,all_non_landmark,0.7243547674271476
graphene_2d_materials::https://openalex.org/W2058122340,Electric Field Effect in Atomically Thin Carbon Films,graphene_2d_materials,2004,Graphene research and applications,landmark,DeltaQ0,10.92720824185104,5921,all_non_landmark,0.7243547674271476
graphene_2d_materials::https://openalex.org/W2058122340,Electric Field Effect in Atomically Thin Carbon Films,graphene_2d_materials,2004,Graphene research and applications,landmark,Uzzi,88.39723019760176,5921,all_non_landmark,0.7243547674271476
graphene_2d_materials::https://openalex.org/W2058122340,Electric Field Effect in Atomically Thin Carbon Films,graphene_2d_materials,2004,Graphene research and applications,landmark,RTD,54.75426448235096,5921,all_non_landmark,0.7243547674271476
graphene_2d_materials::https://openalex.org/W2058122340,Electric Field Effect in Atomically Thin Carbon Films,graphene_2d_materials,2004,Graphene research and applications,landmark,BurtIP,60.8343185272758,5921,all_non_landmark,0.7243547674271476
graphene_2d_materials::https://openalex.org/W2058122340,Electric Field Effect in Atomically Thin Carbon Films,graphene_2d_materials,2004,Graphene research and applications,landmark,PDE,49.24843776389123,5921,all_non_landmark,0.7243547674271476
ipsc_reprogramming::https://openalex.org/W2125987139,Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors,ipsc_reprogramming,2006,Pluripotent Stem Cells Research,landmark,B,38.59649122807017,171,field_year_refbin,1.2211420353156122
ipsc_reprogramming::https://openalex.org/W2125987139,Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors,ipsc_reprogramming,2006,Pluripotent Stem Cells Research,landmark,RS,80.11695906432749,171,field_year_refbin,1.2211420353156122
ipsc_reprogramming::https://openalex.org/W2125987139,Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors,ipsc_reprogramming,2006,Pluripotent Stem Cells Research,landmark,DeltaQ0,69.00584795321637,171,field_year_refbin,1.2211420353156122
ipsc_reprogramming::https://openalex.org/W2125987139,Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors,ipsc_reprogramming,2006,Pluripotent Stem Cells Research,landmark,Uzzi,80.11695906432749,171,field_year_refbin,1.2211420353156122
ipsc_reprogramming::https://openalex.org/W2125987139,Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors,ipsc_reprogramming,2006,Pluripotent Stem Cells Research,landmark,RTD,77.19298245614034,171,field_year_refbin,1.2211420353156122
ipsc_reprogramming::https://openalex.org/W2125987139,Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors,ipsc_reprogramming,2006,Pluripotent Stem Cells Research,landmark,BurtIP,24.561403508771928,171,field_year_refbin,1.2211420353156122
