paper_id,domain,year,primary_field,is_landmark,n_controls,control_tier,community_reach_control_mad,community_reach_control_robust_scale,community_reach_scale_used,community_reach_scale_floor_used,community_reach_mad_zero,community_reach_z_clipped,field_entropy_control_mad,field_entropy_control_robust_scale,field_entropy_scale_used,field_entropy_scale_floor_used,field_entropy_mad_zero,field_entropy_z_clipped,cross_community_adoption_control_mad,cross_community_adoption_control_robust_scale,cross_community_adoption_scale_used,cross_community_adoption_scale_floor_used,cross_community_adoption_mad_zero,cross_community_adoption_z_clipped,path_shortening_control_mad,path_shortening_control_robust_scale,path_shortening_scale_used,path_shortening_scale_floor_used,path_shortening_mad_zero,path_shortening_z_clipped,modularity_shock_control_mad,modularity_shock_control_robust_scale,modularity_shock_scale_used,modularity_shock_scale_floor_used,modularity_shock_mad_zero,modularity_shock_z_clipped,partition_change_control_mad,partition_change_control_robust_scale,partition_change_scale_used,partition_change_scale_floor_used,partition_change_mad_zero,partition_change_z_clipped,boundary_mixing_control_mad,boundary_mixing_control_robust_scale,boundary_mixing_scale_used,boundary_mixing_scale_floor_used,boundary_mixing_mad_zero,boundary_mixing_z_clipped,post_perturbation_concentration_control_mad,post_perturbation_concentration_control_robust_scale,post_perturbation_concentration_scale_used,post_perturbation_concentration_scale_floor_used,post_perturbation_concentration_mad_zero,post_perturbation_concentration_z_clipped,hub_formation_control_mad,hub_formation_control_robust_scale,hub_formation_scale_used,hub_formation_scale_floor_used,hub_formation_mad_zero,hub_formation_z_clipped,n_delta_scale_floor_used,n_delta_mad_zero,n_delta_z_clipped
ubiquitin_and_proteasome_pathways::https://openalex.org/W1969336855,ubiquitin_and_proteasome_pathways,1984,Molecular Biology,0,1541,field_all_years,2.9652,3.1213421771361682,2.9652,0,0,0,0.6422422675235168,0.6422422675235168,0.6422422675235168,0,0,0,0.32946666666666663,0.39016777214202103,0.4118333333333333,1,0,0,0.0,0.09754194303550526,0.0853492001560671,1,1,0,3.949597740950152e-05,0.01410730581092019,0.01410730581092019,1,0,0,0.1879735832228135,0.24621613713952817,0.1879735832228135,0,0,0,0.11404615384615382,0.1559679671267654,0.11404615384615382,0,0,0,0.2978978368851143,0.30565336463223786,0.2978978368851143,0,0,0,0.0,0.004346087273749194,0.02,1,1,0,4,2,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W1564518002,ubiquitin_and_proteasome_pathways,1985,Molecular Biology,0,1541,field_all_years,2.9652,3.1213421771361682,2.9652,0,0,0,0.6422422675235168,0.6422422675235168,0.6422422675235168,0,0,0,0.32946666666666663,0.39016777214202103,0.4118333333333333,1,0,0,0.0,0.09754194303550526,0.0853492001560671,1,1,0,3.949597740950152e-05,0.01410730581092019,0.01410730581092019,1,0,0,0.18802573704819311,0.24621613713952817,0.18802573704819311,0,0,0,0.11404615384615382,0.1559679671267654,0.11404615384615382,0,0,0,0.2964506718245697,0.30502864423682563,0.2964506718245697,0,0,0,0.0,0.004346087273749194,0.02,1,1,0,4,2,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W1529813906,ubiquitin_and_proteasome_pathways,1988,Molecular Biology,0,1541,field_all_years,2.9652,3.1213421771361682,2.9652,0,0,0,0.6532575415826863,0.6532575415826863,0.6532575415826863,0,0,0,0.32946666666666663,0.39016777214202103,0.4118333333333333,1,0,0,0.0,0.09754194303550526,0.0853492001560671,1,1,0,3.949597740950152e-05,0.01410730581092019,0.01410730581092019,1,0,0,0.1879735832228135,0.24621613713952817,0.1879735832228135,0,0,0,0.1142271794871795,0.15598567849291473,0.1142271794871795,0,0,0,0.29880447452786957,0.30565336463223786,0.29880447452786957,0,0,0,0.0,0.004346087273749194,0.02,1,1,0,4,2,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W1995596496,ubiquitin_and_proteasome_pathways,1989,Molecular Biology,0,1541,field_all_years,2.9652,3.1213421771361682,2.9652,0,0,0,0.6480465024140776,0.6480465024140776,0.6480465024140776,0,0,0,0.32946666666666663,0.39016777214202103,0.4118333333333333,1,0,0,0.0,0.09754194303550526,0.0853492001560671,1,1,0,3.949597740950152e-05,0.01410730581092019,0.01410730581092019,1,0,0,0.1879735832228135,0.24621613713952817,0.1879735832228135,0,0,0,0.11404615384615382,0.1559679671267654,0.11404615384615382,0,0,0,0.2978978368851143,0.30565336463223786,0.2978978368851143,0,0,0,0.0,0.004346087273749194,0.02,1,1,0,4,2,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W1573531091,ubiquitin_and_proteasome_pathways,1994,Oncology,0,51,field_all_years,1.4826,2.3410066328521264,1.4826,0,0,0,0.8314805767467691,0.8314805767467691,0.8314805767467691,0,0,0,0.37065,0.4419227918115983,0.46331249999999996,1,0,0,0.0,0.022904976746529717,0.0284497333853557,1,1,0,0.0,0.039293819419273374,0.039293819419273374,1,1,0,0.31824612074878866,0.33410881655417024,0.31824612074878866,0,0,0,0.22554766734279919,0.22554766734279919,0.22554766734279919,0,0,0,0.23721600000000004,0.39016777214202103,0.23721600000000004,0,0,0,0.0,0.007702688248219467,0.02,1,1,0,4,3,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W2015997780,ubiquitin_and_proteasome_pathways,1995,Molecular Biology,0,1541,field_all_years,2.9652,3.1213421771361682,2.9652,0,0,0,0.6486577790951981,0.6486577790951981,0.6486577790951981,0,0,0,0.32946666666666663,0.39016777214202103,0.4118333333333333,1,0,0,0.0,0.09754194303550526,0.0853492001560671,1,1,0,2.6916800151919807e-05,0.01410730581092019,0.01410730581092019,1,0,0,0.1879735832228135,0.24621613713952817,0.1879735832228135,0,0,0,0.11458032786885243,0.15598567849291473,0.11458032786885243,0,0,0,0.2953428622299688,0.3041352852408896,0.2953428622299688,0,0,0,0.0,0.004346087273749194,0.02,1,1,0,4,2,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W2091403769,ubiquitin_and_proteasome_pathways,1995,Oncology,0,51,field_all_years,1.4826,1.9508388607101053,1.4826,0,0,1,0.718225146261,0.718225146261,0.718225146261,0,0,0,0.4291736842105263,0.45655351242335757,0.5364671052631579,1,0,0,0.0,0.022904976746529717,0.0284497333853557,1,1,0,0.0,0.039293819419273374,0.039293819419273374,1,1,0,0.31824612074878866,0.33410881655417024,0.31824612074878866,0,0,0,0.22619686274509795,0.22619686274509795,0.22619686274509795,0,0,0,0.2571961911357342,0.39016777214202103,0.2571961911357342,0,0,0,0.0,0.007702688248219467,0.02,1,1,0,4,3,1
ubiquitin_and_proteasome_pathways::https://openalex.org/W2158708535,ubiquitin_and_proteasome_pathways,1995,Molecular Biology,0,1541,field_all_years,2.9652,3.1213421771361682,2.9652,0,0,0,0.6486577790951981,0.6486577790951981,0.6486577790951981,0,0,0,0.32946666666666663,0.39016777214202103,0.4118333333333333,1,0,0,0.0,0.0928970886052431,0.0812849525295877,1,1,1,3.949597740950152e-05,0.01410730581092019,0.01410730581092019,1,0,0,0.18802573704819311,0.24621613713952817,0.18802573704819311,0,0,0,0.11458032786885243,0.15598567849291473,0.11458032786885243,0,0,0,0.2953428622299688,0.3041352852408896,0.2953428622299688,0,0,0,0.0,0.004346087273749194,0.02,1,1,0,4,2,1
genetics_aging_and_longevity_in_model_organisms::https://openalex.org/W2004002095,genetics_aging_and_longevity_in_model_organisms,1996,Aging,0,349,field_all_years,2.9652,2.9652,2.9652,0,0,0,0.6011425692767168,0.6123705427930477,0.6011425692767168,0,0,0,0.3177,0.3177,0.39712499999999995,1,0,0,0.0,0.03958325248693137,0.034635345926064945,1,1,1,0.0,0.004314302727256662,0.007384686068857942,1,1,0,0.18674278737698308,0.20344695210414654,0.18674278737698308,0,0,0,0.08438574029976187,0.0938945376052084,0.08438574029976187,0,0,0,0.26769166666666666,0.31085162563024954,0.26769166666666666,0,0,0,0.0,0.004476014365903039,0.02,1,1,0,4,3,1
genetics_aging_and_longevity_in_model_organisms::https://openalex.org/W2111882191,genetics_aging_and_longevity_in_model_organisms,1996,Aging,0,349,field_all_years,2.9652,2.9652,2.9652,0,0,0,0.6011425692767168,0.6123705427930477,0.6011425692767168,0,0,0,0.3177,0.3177,0.39712499999999995,1,0,0,0.0,0.034308930837240674,0.03002031448258559,1,1,1,0.0,0.004314302727256662,0.007384686068857942,1,1,0,0.1883366878029698,0.20344695210414654,0.1883366878029698,0,0,0,0.08267032258064516,0.09437815703593815,0.08267032258064516,0,0,0,0.26769166666666666,0.31085162563024954,0.26769166666666666,0,0,0,0.0,0.004476014365903039,0.02,1,1,0,4,3,1
genetics_aging_and_longevity_in_model_organisms::https://openalex.org/W2151160060,genetics_aging_and_longevity_in_model_organisms,1996,Aging,0,349,field_all_years,2.9652,2.9652,2.9652,0,0,0,0.6011425692767168,0.6123705427930477,0.6011425692767168,0,0,0,0.3177,0.3177,0.39712499999999995,1,0,0,0.0,0.043213110174167894,0.03781147140239691,1,1,0,0.0,0.004314302727256662,0.007384686068857942,1,1,0,0.1883366878029698,0.20344695210414654,0.1883366878029698,0,0,0,0.08267032258064516,0.09437815703593815,0.08267032258064516,0,0,0,0.26769166666666666,0.31085162563024954,0.26769166666666666,0,0,0,0.0,0.004476014365903039,0.02,1,1,0,4,3,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W2013036001,ubiquitin_and_proteasome_pathways,1996,Oncology,0,51,field_all_years,1.4826,2.3410066328521264,1.4826,0,0,0,0.8314805767467691,0.8314805767467691,0.8314805767467691,0,0,0,0.37065,0.4419227918115983,0.46331249999999996,1,0,0,0.0,0.022904976746529717,0.0284497333853557,1,1,0,0.0,0.039293819419273374,0.039293819419273374,1,1,0,0.32083474065853396,0.34733699189206324,0.32083474065853396,0,0,0,0.22619686274509795,0.22619686274509795,0.22619686274509795,0,0,0,0.2571961911357342,0.39016777214202103,0.2571961911357342,0,0,0,0.0,0.007702688248219467,0.02,1,1,0,4,3,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W2041156762,ubiquitin_and_proteasome_pathways,1996,Molecular Biology,0,1541,field_all_years,2.9652,3.1213421771361682,2.9652,0,0,0,0.6532575415826863,0.6532575415826863,0.6532575415826863,0,0,0,0.32946666666666663,0.39016777214202103,0.4118333333333333,1,0,0,0.0,0.09754194303550526,0.0853492001560671,1,1,0,3.949597740950152e-05,0.01410730581092019,0.01410730581092019,1,0,0,0.1879735832228135,0.24621613713952817,0.1879735832228135,0,0,0,0.11404615384615382,0.1559679671267654,0.11404615384615382,0,0,0,0.2953428622299688,0.3041352852408896,0.2953428622299688,0,0,0,0.0,0.004346087273749194,0.02,1,1,0,4,2,0
