w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE,cv_spearman,cv_spearman_delta_vs_equal
0.00324585,0.31153442,0.07112348,0.1677354,0.31432075,0.09388368,0.03815643,0.43895266563661933,0.00798984844204731
0.27904046,0.1606297,0.02678783,0.00251881,0.09296052,0.43057439,0.0074883,0.2973851524556079,-0.1335776647389641
0.1318853,0.11272731,0.26150571,0.03485335,0.03697675,0.23070775,0.19134384,0.4130995097782595,-0.017863307416312535
0.00223657,0.02085412,0.35655954,0.164406,0.33647131,0.01601123,0.10346122,0.4674602646691235,0.03649744747455147
0.09256266,0.04381592,0.23691976,0.05300479,0.33760579,0.02258812,0.21350296,0.46704215439286456,0.03607933719829254
0.16145936,0.27359461,0.10069074,0.02349753,0.06061304,0.19624296,0.18390176,0.4234447277402933,-0.007518089454278731
0.09124689,0.03377357,0.08008582,0.18221084,0.36132242,0.13238108,0.11897939,0.4388792851096215,0.007916467915049463
0.25090117,0.21451294,0.0876227,0.15155889,0.10350739,0.08479837,0.10709854,0.41760259271221617,-0.013360224482355854
0.16603823,0.45510259,0.13956903,0.09433496,0.0777977,0.04675691,0.02040059,0.45192426327204993,0.020961446077477908
0.26975226,0.07157932,0.08676199,0.06273456,0.17650084,0.29023321,0.04243783,0.3424495031839732,-0.08851331401059881
0.00777306,0.02853991,0.0640756,0.27403526,0.07477438,0.29457183,0.25622996,0.41050399410251215,-0.020458823092059875
0.11930019,0.18843287,0.05113575,0.47163035,0.00358036,0.08146119,0.08445929,0.4109712896513891,-0.019991527543182896
0.31718933,0.02483029,0.07184678,0.09367022,0.31599053,0.03886828,0.13760456,0.4135828359272917,-0.017379981267280298
0.05680843,0.16895204,0.04088405,0.20910323,0.10881651,0.19698816,0.21844757,0.4271988311458895,-0.0037639860486824994
0.00663836,0.07811805,0.08326617,0.14718415,0.02259624,0.60934963,0.05284738,0.29328837399457885,-0.13767444319999317
0.10424181,0.01749444,0.14401926,0.01258059,0.01036787,0.66613359,0.04516245,0.24952642083221294,-0.1814363963623591
0.11147008,0.02013522,0.34637326,0.19364365,0.14300078,0.02284498,0.16253203,0.4447353107837896,0.01377249358921756
0.40987134,0.08001752,0.12320634,0.23911586,0.10452162,0.02216961,0.02109771,0.35369939854310795,-0.07726341865146408
0.01972953,0.04589468,0.02118215,0.36318626,0.2504831,0.0725279,0.22699637,0.426126314255191,-0.004836502939381038
