id,year,title,domain,primary_field,display_community,is_landmark,anchor_label,short_id,doi,cited_by_count,primary_topic,community,community_label,display_label
https://openalex.org/W2019465613,1995,Fast Parallel Algorithms for Short-Range Molecular Dynamics,ipsc_reprogramming,Parallel / Molecular Dynamics,0,0,,W2019465613,10.1006/jcph.1995.1039,44363,Parallel Computing and Optimization Techniques,0,Parallel / Molecular Dynamics,
https://openalex.org/W2082559087,1995,Mice lacking progesterone receptor exhibit pleiotropic reproductive abnormalities.,ipsc_reprogramming,Stem / Germ,8,0,,W2082559087,10.1101/gad.9.18.2266,1903,Estrogen and related hormone effects,8,Stem / Germ,
https://openalex.org/W2021494076,1995,Embryonic Stem Cells Express Neuronal Properties in Vitro,ipsc_reprogramming,Stem / Embryonic,3,0,,W2021494076,10.1006/dbio.1995.1085,1172,Pluripotent Stem Cells Research,11,Stem / Embryonic,Stem / Embryonic
https://openalex.org/W2076600697,1995,Myogenic and morphogenetic defects in the heart tubes of murine embryos lacking the homeo box gene Nkx2-5.,ipsc_reprogramming,Stem / Embryonic,3,0,,W2076600697,10.1101/gad.9.13.1654,1137,Congenital heart defects research,11,Stem / Embryonic,Stem / Embryonic
https://openalex.org/W2041695960,1995,Isolation of a primate embryonic stem cell line.,ipsc_reprogramming,Stem / Embryonic,7,0,,W2041695960,10.1073/pnas.92.17.7844,1095,Pluripotent Stem Cells Research,151,Stem / Embryonic,Stem / Embryonic
https://openalex.org/W2091726431,1995,Immune System Impairment and Hepatic Fibrosis in Mice Lacking the Dioxin-Binding Ah Receptor,ipsc_reprogramming,Mice / Stem,41,0,,W2091726431,10.1126/science.7732381,1077,Toxic Organic Pollutants Impact,41,Mice / Stem,
https://openalex.org/W2058705034,1995,Cyclin D1 provides a link between development and oncogenesis in the retina and breast,ipsc_reprogramming,Stem / Germ,8,0,,W2058705034,10.1016/0092-8674(95)90034-9,1032,Cancer-related Molecular Pathways,8,Stem / Germ,
https://openalex.org/W2124415162,1995,"BMP-7 is an inducer of nephrogenesis, and is also required for eye development and skeletal patterning.",ipsc_reprogramming,Stem / Embryonic,3,0,,W2124415162,10.1101/gad.9.22.2808,1025,Renal and related cancers,11,Stem / Embryonic,Stem / Embryonic
https://openalex.org/W2002273560,1995,Strain-Dependent Epithelial Defects in Mice Lacking the EGF Receptor,ipsc_reprogramming,Mice / Stem,41,0,,W2002273560,10.1126/science.7618085,1016,Renal and related cancers,41,Mice / Stem,
https://openalex.org/W2116695601,1995,In vitro differentiation of embryonic stem cells,ipsc_reprogramming,Stem / Embryonic,3,0,,W2116695601,10.1016/0955-0674(95)80071-9,952,Pluripotent Stem Cells Research,11,Stem / Embryonic,Stem / Embryonic
https://openalex.org/W2094145003,1995,Requirement for LIml in head-organizer function,ipsc_reprogramming,Stem / Pluripotent,195,0,,W2094145003,10.1038/374425a0,809,Developmental Biology and Gene Regulation,195,Stem / Pluripotent,
