paper_id,title,domain,year,primary_field,is_landmark,reference_count,B,degree,RS,field_simpson,field_variety,DeltaQ0,Uzzi,RTD,community_variety,BurtIP,effective_size,constraint_inv,PDE
ubiquitin_and_proteasome_pathways::https://openalex.org/W1969336855,Thermolability of ubiquitin-activating enzyme from the mammalian cell cycle mutant ts85,ubiquitin_and_proteasome_pathways,1984,Molecular Biology,0,5,0.0,5.0,0.16695086954715313,0.5599999999999999,3.0,-0.04666666666666669,0.0,0.72,4.0,0.2,1.0,1.5432098765432096,0.9502705392302345
ubiquitin_and_proteasome_pathways::https://openalex.org/W1564518002,The immunochemical detection and quantitation of intracellular ubiquitin-protein conjugates.,ubiquitin_and_proteasome_pathways,1985,Molecular Biology,0,6,0.0,6.0,0.12001751495069994,0.5,3.0,-0.031292517006802634,0.0,0.6666666666666666,4.0,0.16666666666666666,1.0,1.7851239669421486,0.8675632284784613
ubiquitin_and_proteasome_pathways::https://openalex.org/W1529813906,Ubiquitin-mediated protein degradation.,ubiquitin_and_proteasome_pathways,1988,Molecular Biology,0,7,0.04285714285714286,7.0,0.06712575652478012,0.44897959183673464,3.0,-0.003051710880430658,0.0,0.6122448979591837,4.0,0.3061224489795919,2.1428571428571432,2.0792839465307744,0.796311640170813
ubiquitin_and_proteasome_pathways::https://openalex.org/W1995596496,ATP-dependent incorporation of 20S protease into the 26S complex that degrades proteins conjugated to ubiquitin.,ubiquitin_and_proteasome_pathways,1989,Molecular Biology,0,5,0.025,5.0,0.05226879150909583,0.31999999999999984,2.0,-0.09089191232048374,0.0,0.72,4.0,0.27999999999999997,1.4,1.5673981191222568,0.5004024235361879
ubiquitin_and_proteasome_pathways::https://openalex.org/W1573531091,Distinct 19 S and 20 S subcomplexes of the 26 S proteasome and their distribution in the nucleus and the cytoplasm.,ubiquitin_and_proteasome_pathways,1994,Oncology,0,6,0.41111111111111104,6.0,0.12562935963134378,0.5,3.0,-0.03677092138630597,0.0,0.7777777777777777,5.0,0.611111111111111,3.6666666666666665,2.214022140221403,0.8675632284784613
ubiquitin_and_proteasome_pathways::https://openalex.org/W2015997780,"Ubiquitin, proteasomes, and the regulation of intracellular protein degradation",ubiquitin_and_proteasome_pathways,1995,Molecular Biology,0,5,0.35000000000000003,5.0,0.32000000000000006,0.31999999999999984,2.0,-0.0,0.0,0.31999999999999984,2.0,0.6,3.0,1.8045112781954886,0.5004024235361879
ubiquitin_and_proteasome_pathways::https://openalex.org/W2091403769,Role of the Ubiquitin-Proteasome Pathway in Regulating Abundance of the Cyclin-Dependent Kinase Inhibitor p27,ubiquitin_and_proteasome_pathways,1995,Oncology,0,5,0.43333333333333335,5.0,0.0,0.0,1.0,0.05499999999999999,0.0,0.31999999999999984,2.0,0.6,3.0,1.9459459459459456,-1.000088900581841e-12
ubiquitin_and_proteasome_pathways::https://openalex.org/W2158708535,Signal-induced site-specific phosphorylation targets I kappa B alpha to the ubiquitin-proteasome pathway.,ubiquitin_and_proteasome_pathways,1995,Molecular Biology,0,7,0.5714285714285715,7.0,0.24489795918367344,0.24489795918367352,2.0,-0.0076530612244897905,0.0,0.44897959183673464,3.0,0.7142857142857143,5.0,2.7904328018223237,0.41011631828640904
genetics_aging_and_longevity_in_model_organisms::https://openalex.org/W2004002095,Genetic analysis of ageing: role of oxidative damage and environmental stresses,genetics_aging_and_longevity_in_model_organisms,1996,Aging,0,8,0.5952380952380951,8.0,0.375,0.40625,3.0,-0.01192743764172326,2.0042410943964972,0.40625,3.0,0.78125,6.25,3.0713447797803135,0.7356219397557947
genetics_aging_and_longevity_in_model_organisms::https://openalex.org/W2111882191,"Longevity, Genes, and Aging",genetics_aging_and_longevity_in_model_organisms,1996,Aging,0,7,0.6666666666666666,7.0,0.24489795918367344,0.24489795918367352,2.0,0.004132231404958726,2.0042410943964972,0.24489795918367352,2.0,0.8367346938775511,5.857142857142858,2.9236276849642007,0.41011631828640904
