id,short_id,doi,title,year,cited_by_count,primary_topic,community,community_label,display_community,display_label,anchor_label,anchor_citer,reference_stub
https://openalex.org/W1675090223,W1675090223,,An All Sky Extrasolar Planet Survey with new generation multiple object Doppler instruments at Sloan telescope,1994,22,Astronomy and Astrophysical Research,24,Telescope / Survey,,,,0,0
https://openalex.org/W1963760477,W1963760477,10.1038/378355a0,A Jupiter-mass companion to a solar-type star,1995,4093,"Stellar, planetary, and galactic studies",1,Planetary / Galactic,0.0,Planetary / Galactic,Mayor/Queloz 1995,0,0
https://openalex.org/W2076152999,W2076152999,10.1126/science.274.5289.954,Dynamical Instabilities and the Formation of Extrasolar Planetary Systems,1996,1195,"Stellar, planetary, and galactic studies",9,Planetary / Stellar,,,,0,0
https://openalex.org/W1969969429,W1969969429,10.1146/annurev.astro.34.1.419,GRAVITATIONAL MICROLENSING IN THE LOCAL GROUP,1996,328,"Stellar, planetary, and galactic studies",1,Planetary / Galactic,0.0,Planetary / Galactic,,0,0
https://openalex.org/W2044321955,W2044321955,10.1086/178096,Detecting Earth‐Mass Planets with Gravitational Microlensing,1996,318,"Stellar, planetary, and galactic studies",1,Planetary / Galactic,0.0,Planetary / Galactic,,0,0
https://openalex.org/W1975985072,W1975985072,10.1038/383139a0,Circumstellar disks and the search for neighbouring planetary systems,1996,291,"Stellar, planetary, and galactic studies",1,Planetary / Galactic,0.0,Planetary / Galactic,,0,0
https://openalex.org/W1992599695,W1992599695,10.1086/304392,Activity‐Related Radial Velocity Variation in Cool Stars,1997,537,"Stellar, planetary, and galactic studies",21,Planetary / Stellar,,,,0,0
https://openalex.org/W2160335211,W2160335211,10.1146/annurev.astro.35.1.137,MODEL ATMOSPHERES OF VERY LOW MASS STARS AND BROWN DWARFS,1997,362,"Stellar, planetary, and galactic studies",11,Stellar / Stars Brown,,,,0,0
https://openalex.org/W2055770340,W2055770340,10.1086/305711,Orbital Evolution and Migration of Giant Planets: Modeling Extrasolar Planets,1998,331,"Stellar, planetary, and galactic studies",9,Planetary / Stellar,,,,0,0
https://openalex.org/W2003687834,W2003687834,10.1086/311325,Magnetic Activity–related Radial Velocity Variations in Cool Stars: First Results from the Lick Extrasolar Planet Survey,1998,318,"Stellar, planetary, and galactic studies",21,Planetary / Stellar,,,,0,0
https://openalex.org/W2022362220,W2022362220,10.1117/12.324482,Kepler: a space mission to detect earth-class exoplanets,1998,66,"Stellar, planetary, and galactic studies",6,Planetary / Stellar,,,,0,0
https://openalex.org/W3105451511,W3105451511,,Detection of Planetary Transits Across a Sun-like Star,1999,930,"Stellar, planetary, and galactic studies",6,Planetary / Stellar,,,,0,0
https://openalex.org/W2120931289,W2120931289,10.1086/306811,Chemical Equilibrium Abundances in Brown Dwarf and Extrasolar Giant Planet Atmospheres,1999,513,"Stellar, planetary, and galactic studies",0,Planetary / Stellar,4.0,Planetary / Stellar,,0,0
https://openalex.org/W1992988721,W1992988721,10.1086/306881,Reflected Spectra and Albedos of Extrasolar Giant Planets. I. Clear and Cloudy Atmospheres,1999,311,"Stellar, planetary, and galactic studies",0,Planetary / Stellar,4.0,Planetary / Stellar,,0,0
https://openalex.org/W1490045605,W1490045605,10.1126/science.286.5444.1451,Shadow of an Exoplanet Detected,1999,5,"Stellar, planetary, and galactic studies",42,Shadow / Shadow Exoplanet,,,,0,0
https://openalex.org/W2151864661,W2151864661,10.1086/312457,Detection of Planetary Transits Across a Sun-like Star,2000,1390,"Stellar, planetary, and galactic studies",6,Planetary / Stellar,,,,0,0
https://openalex.org/W2138283621,W2138283621,10.1051/0004-6361:20010730,Fundamental photon noise limit to radial velocity measurements,2001,427,"Stellar, planetary, and galactic studies",21,Planetary / Stellar,,,,0,0
https://openalex.org/W2151079193,W2151079193,10.1086/320950,Transmission Spectra as Diagnostics of Extrasolar Giant Planet Atmospheres,2001,423,"Stellar, planetary, and galactic studies",0,Planetary / Stellar,4.0,Planetary / Stellar,,0,0
https://openalex.org/W2039556889,W2039556889,10.1086/318667,On the Tidal Inflation of Short‐Period Extrasolar Planets,2001,414,"Stellar, planetary, and galactic studies",12,Hot / Jupiters,,,,0,0
https://openalex.org/W2002876153,W2002876153,10.1086/318048,Parent Stars of Extrasolar Planets. VI. Abundance Analyses of 20 New Systems,2001,315,"Stellar, planetary, and galactic studies",3,Planetary / Stellar,,,,0,0
https://openalex.org/W3098607060,W3098607060,,Transmission Spectra as Diagnostics of Extrasolar Giant Planet Atmospheres,2001,255,"Stellar, planetary, and galactic studies",0,Planetary / Stellar,4.0,Planetary / Stellar,,0,0
https://openalex.org/W2247000042,W2247000042,,Nulling Interferometry with IRSI-Darwin: Detection and Characterization of Earth-like Exoplanets,2001,5,Astronomy and Astrophysical Research,43,Nulling Interferometry / Nulling,,,,0,0
