paper_id,title,metric,percentile,year,primary_field,n_controls,control_tier
https://openalex.org/W2045435533,A Programmable Dual-RNA–Guided DNA Endonuclease in Adaptive Bacterial Immunity,B,63.63636363636363,2012,Caenorhabditis / Elegans,22,field_year3
https://openalex.org/W2045435533,A Programmable Dual-RNA–Guided DNA Endonuclease in Adaptive Bacterial Immunity,RS,13.636363636363635,2012,Caenorhabditis / Elegans,22,field_year3
https://openalex.org/W2045435533,A Programmable Dual-RNA–Guided DNA Endonuclease in Adaptive Bacterial Immunity,DeltaQ0,72.72727272727273,2012,Caenorhabditis / Elegans,22,field_year3
https://openalex.org/W2045435533,A Programmable Dual-RNA–Guided DNA Endonuclease in Adaptive Bacterial Immunity,Uzzi,86.36363636363636,2012,Caenorhabditis / Elegans,22,field_year3
https://openalex.org/W2045435533,A Programmable Dual-RNA–Guided DNA Endonuclease in Adaptive Bacterial Immunity,RTD,0.0,2012,Caenorhabditis / Elegans,22,field_year3
https://openalex.org/W2045435533,A Programmable Dual-RNA–Guided DNA Endonuclease in Adaptive Bacterial Immunity,BurtIP,31.818181818181817,2012,Caenorhabditis / Elegans,22,field_year3
https://openalex.org/W2045435533,A Programmable Dual-RNA–Guided DNA Endonuclease in Adaptive Bacterial Immunity,PDE,0.0,2012,Caenorhabditis / Elegans,22,field_year3
https://openalex.org/W2064815984,Multiplex Genome Engineering Using CRISPR/Cas Systems,B,76.92307692307693,2013,Stem / Rna,39,field_year
https://openalex.org/W2064815984,Multiplex Genome Engineering Using CRISPR/Cas Systems,RS,100.0,2013,Stem / Rna,39,field_year
https://openalex.org/W2064815984,Multiplex Genome Engineering Using CRISPR/Cas Systems,DeltaQ0,92.3076923076923,2013,Stem / Rna,39,field_year
https://openalex.org/W2064815984,Multiplex Genome Engineering Using CRISPR/Cas Systems,Uzzi,100.0,2013,Stem / Rna,39,field_year
https://openalex.org/W2064815984,Multiplex Genome Engineering Using CRISPR/Cas Systems,RTD,74.35897435897436,2013,Stem / Rna,39,field_year
https://openalex.org/W2064815984,Multiplex Genome Engineering Using CRISPR/Cas Systems,BurtIP,38.46153846153847,2013,Stem / Rna,39,field_year
https://openalex.org/W2064815984,Multiplex Genome Engineering Using CRISPR/Cas Systems,PDE,79.48717948717949,2013,Stem / Rna,39,field_year
https://openalex.org/W2003171404,RNA-Guided Human Genome Engineering via Cas9,B,82.05128205128204,2013,Stem / Rna,39,field_year
https://openalex.org/W2003171404,RNA-Guided Human Genome Engineering via Cas9,RS,100.0,2013,Stem / Rna,39,field_year
https://openalex.org/W2003171404,RNA-Guided Human Genome Engineering via Cas9,DeltaQ0,92.3076923076923,2013,Stem / Rna,39,field_year
https://openalex.org/W2003171404,RNA-Guided Human Genome Engineering via Cas9,Uzzi,100.0,2013,Stem / Rna,39,field_year
https://openalex.org/W2003171404,RNA-Guided Human Genome Engineering via Cas9,RTD,74.35897435897436,2013,Stem / Rna,39,field_year
https://openalex.org/W2003171404,RNA-Guided Human Genome Engineering via Cas9,BurtIP,53.84615384615385,2013,Stem / Rna,39,field_year
https://openalex.org/W2003171404,RNA-Guided Human Genome Engineering via Cas9,PDE,76.92307692307693,2013,Stem / Rna,39,field_year
