paper_id,title,domain,year,primary_field,display_community,is_landmark,reference_count,cited_by_count,fold_id,S_w,S_w_oof,S_equal,RGPM,RGPM_v2,RGPM_simple,RGPM_v3_balanced,RGPM_mahalanobis_debug,B_z,RS_z,DeltaQ0_z,Uzzi_z,RTD_z,BurtIP_z,PDE_z
graphene_2d_materials::https://openalex.org/W2091804031,"Heteroepitaxial growth by Van der Waals interaction in one-, two- and three-dimensional materials",graphene_2d_materials,1991,Chemistry / Materials,100012,0,5,77.0,2,-0.47777225008479995,-0.47777225008479995,-0.40335788679537804,0.46440737397753706,0.46440737397753706,0.46440737397753706,0.46440737397753706,1.2158692638280302,0.4811513146216964,-1.122860628830139,-0.21191446494192787,0.0,-1.2828095754812965,0.4357887758941596,-1.122860628830139
graphene_2d_materials::https://openalex.org/W1542482684,MoS2 structures in high-activity hydrotreating catalysts,graphene_2d_materials,1993,Chemistry / Catalysis,100001,0,12,132.0,2,-0.13384639479287908,-0.13384639479287908,0.08734669979476953,0.23942780169508604,0.23942780169508604,0.23942780169508604,0.23942780169508604,0.475690922582205,0.6329202637303791,-0.2487276896369165,-0.1459909009865177,0.0,-0.2487276896369165,0.8706806047302746,-0.2487276896369165
graphene_2d_materials::https://openalex.org/W1964642922,Crystal reorientation and wear mechanisms in MoS<sub>2</sub> lubricating thin films investigated by TEM,graphene_2d_materials,1993,Materials / Film,100006,0,6,55.0,2,-0.08243978975272599,-0.08243978975272599,0.21811014600521655,0.0,0.0,0.0,0.0,0.0,1.0872573835362356,-0.15487092324939222,-0.11594982453774458,0.0,-0.15487092324939222,1.0200762327862016,-0.15487092324939222
graphene_2d_materials::https://openalex.org/W1968164954,Self-assembled alkane monolayers on MoSe2 and MoS2,graphene_2d_materials,1993,Chemistry / Materials,100012,0,5,81.0,2,0.7942704016539317,0.7942704016539316,0.872625601860539,0.7683394650033377,0.7683394650033377,0.7683394650033377,0.7683394650033377,1.8277047078129558,1.770155915687678,0.3241821941166405,0.5275266259287685,2.3916266181846075,-0.44586717392006797,1.765084084090225,-0.22432905106407872
graphene_2d_materials::https://openalex.org/W2069810599,MoS2 structures in high activity hydrotreating catalysts. II. Evolution of the active phase during the catalyst life cycle. Deactivation model,graphene_2d_materials,1993,Chemistry / Catalysis,100001,0,9,61.0,2,-0.13199283242091675,-0.13199283242091678,0.10092937805644903,0.23942780169508604,0.23942780169508604,0.23942780169508604,0.23942780169508604,0.475690922582205,0.8070410085490356,-0.2487276896369165,-0.1459909009865177,0.0,-0.2487276896369165,0.7916386077433746,-0.2487276896369165
graphene_2d_materials::https://openalex.org/W1998846705,"Development, testing and characterization of MoS2 thin film bearings",graphene_2d_materials,1994,Materials / Film,100006,0,5,14.0,2,-0.09768203651128249,-0.09768203651128249,-0.03589651001411807,0.0,0.0,0.0,0.0,0.0,0.17441610093770255,-0.15487092324939222,-0.11594982453774458,0.0,-0.15487092324939222,0.15487092324939222,-0.15487092324939222
graphene_2d_materials::https://openalex.org/W2042663049,Ultrahigh vacuum high resolution transmission electron microscopy of sputter-deposited MoS2 thin films,graphene_2d_materials,1994,Materials / Film,100006,0,6,28.0,2,-0.11785290317367582,-0.1178529031736758,-0.384497074960437,0.0,0.0,0.0,0.0,0.0,-0.9881546322461973,-0.15487092324939222,-0.11594982453774458,0.0,-0.15487092324939222,-1.122762298190941,-0.15487092324939222
graphene_2d_materials::https://openalex.org/W2042845138,Fracture in MoS2 solid lubricant films,graphene_2d_materials,1994,Materials / Film,100006,0,6,30.0,2,-0.10646023883656147,-0.10646023883656146,-0.17000042798543016,0.0,0.0,0.0,0.0,0.0,-0.3957252958144873,-0.15487092324939222,-0.11594982453774458,0.0,-0.15487092324939222,-0.21371510579760275,-0.15487092324939222
graphene_2d_materials::https://openalex.org/W2057851761,Electronic band structure of multilayered carbon tubules,graphene_2d_materials,1994,Carbon / Nanotubes,100002,0,5,84.0,2,-0.4557845933526873,-0.4557845933526873,-0.029315042615085635,0.5224582957247292,0.5224582957247292,0.5224582957247292,0.5224582957247292,1.271227086522911,1.770155915687678,-1.122860628830139,-0.21191446494192787,0.0,-1.2828095754812965,1.765084084090225,-1.122860628830139
graphene_2d_materials::https://openalex.org/W2334006453,Epitaxial Growth of Two-Dimensional Dichalcogenides and Modification of Their Surfaces with Scanning Probe Microscopes,graphene_2d_materials,1994,Chemistry / Materials,100012,0,6,1.0,2,-0.484481675016705,-0.48448167501670514,-0.5398236762215436,0.0,0.0,0.0,0.0,1.557976871694783,0.16924586112609036,-1.122860628830139,-0.21191446494192787,0.0,-1.2828095754812965,-0.20756629659339304,-1.122860628830139
